2459899.876388889  m  1.3695600437E+04   6.0318557
2459899.877083333  m  1.4055879765E+04   5.9790738
2459899.877777778  m  1.4413023033E+04   5.9273088
2459899.878472222  m  1.4767091909E+04   5.8765809
2459899.879166667  m  1.5118148928E+04   5.8268989
2459899.879861111  m  1.5466256901E+04   5.7782637
2459899.880555556  m  1.5811478462E+04   5.7306691
2459899.881250000  m  1.6153875733E+04   5.6841040
2459899.881944444  m  1.6493510048E+04   5.6385534
2459899.882638889  m  1.6830441734E+04   5.5939993
2459899.883333333  m  1.7164729978E+04   5.5504215
2459899.884027778  m  1.7496432703E+04   5.5077982
2459899.884722222  m  1.7825606480E+04   5.4661064
2459899.885416667  m  1.8152306492E+04   5.4253227
2459899.886111111  m  1.8476586497E+04   5.3854228
2459899.886805556  m  1.8798498791E+04   5.3463829
2459899.887500000  m  1.9118094236E+04   5.3081786
2459899.888194445  m  1.9435422251E+04   5.2707861
2459899.888888889  m  1.9750530828E+04   5.2341819
2459899.889583333  m  2.0063466553E+04   5.1983429
2459899.890277778  m  2.0374274653E+04   5.1632462
2459899.890972222  m  2.0682998989E+04   5.1288698
2459899.891666667  m  2.0989682130E+04   5.0951922
2459899.892361111  m  2.1294365358E+04   5.0621924
2459899.893055555  m  2.1597088728E+04   5.0298501
2459899.893750000  m  2.1897891079E+04   4.9981455
2459899.894444444  m  2.2196810099E+04   4.9670596
2459899.895138889  m  2.2493882340E+04   4.9365738
2459899.895833333  m  2.2789143274E+04   4.9066704
2459899.896527778  m  2.3082627316E+04   4.8773321
2459899.897222222  m  2.3374367863E+04   4.8485423
2459899.897916667  m  2.3664397328E+04   4.8202848
2459899.898611111  m  2.3952747188E+04   4.7925442
2459899.899305556  m  2.4239447994E+04   4.7653055
2459899.900000000  m  2.4524529420E+04   4.7385543
2459899.900694444  m  2.4808020292E+04   4.7122767
2459899.901388889  m  2.5089948619E+04   4.6864593
2459899.902083333  m  2.5370341609E+04   4.6610890
2459899.902777778  m  2.5649225715E+04   4.6361535
2459899.903472222  m  2.5926626658E+04   4.6116407
2459899.904166667  m  2.6202569444E+04   4.5875390
2459899.904861111  m  2.6477078398E+04   4.5638372
2459899.905555556  m  2.6750177182E+04   4.5405246
2459899.906250000  m  2.7021888829E+04   4.5175906
2459899.906944444  m  2.7292235753E+04   4.4950253
2459899.907638889  m  2.7561239780E+04   4.4728190
2459899.908333333  m  2.7828922159E+04   4.4509623
2459899.909027778  m  2.8095303593E+04   4.4294461
2459899.909722222  m  2.8360404245E+04   4.4082618
2459899.910416667  m  2.8624243769E+04   4.3874009
2459899.911111111  m  2.8886841326E+04   4.3668553
2459899.911805556  m  2.9148215594E+04   4.3466172
2459899.912500000  m  2.9408384782E+04   4.3266788
2459899.913194444  m  2.9667366657E+04   4.3070330
2459899.913888889  m  2.9925178554E+04   4.2876726
2459899.914583333  m  3.0181837385E+04   4.2685907
2459899.915277778  m  3.0437359665E+04   4.2497807
2459899.915972222  m  3.0691761502E+04   4.2312362
2459899.916666667  m  3.0945058640E+04   4.2129509
2459899.917361111  m  3.1197266453E+04   4.1949189
2459899.918055556  m  3.1448399957E+04   4.1771344
2459899.918750000  m  3.1698473826E+04   4.1595916
2459899.919444445  m  3.1947502401E+04   4.1422852
2459899.920138889  m  3.2195499697E+04   4.1252098
2459899.920833333  m  3.2442479430E+04   4.1083604
2459899.921527778  m  3.2688454995E+04   4.0917320
2459899.922222222  m  3.2933439508E+04   4.0753197
2459899.922916667  m  3.3177445793E+04   4.0591189
2459899.923611111  m  3.3420486406E+04   4.0431251
2459899.924305555  m  3.3662573625E+04   4.0273338
2459899.925000000  m  3.3903719474E+04   4.0117409
2459899.925694444  m  3.4143935729E+04   3.9963421
2459899.926388889  m  3.4383233923E+04   3.9811336
2459899.927083333  m  3.4621625336E+04   3.9661113
2459899.927777778  m  3.4859121038E+04   3.9512715
2459899.928472222  m  3.5095731861E+04   3.9366105
2459899.929166667  m  3.5331468429E+04   3.9221248
2459899.929861111  m  3.5566341148E+04   3.9078108
2459899.930555556  m  3.5800360221E+04   3.8936653
2459899.931250000  m  3.6033535660E+04   3.8796850
2459899.931944444  m  3.6265877269E+04   3.8658666
2459899.932638889  m  3.6497394670E+04   3.8522070
2459899.933333333  m  3.6728097308E+04   3.8387033
2459899.934027778  m  3.6957994439E+04   3.8253525
2459899.934722222  m  3.7187095154E+04   3.8121517
2459899.935416667  m  3.7415408366E+04   3.7990983
2459899.936111111  m  3.7642942834E+04   3.7861894
2459899.936805556  m  3.7869707152E+04   3.7734225
2459899.937500000  m  3.8095709757E+04   3.7607950
2459899.938194444  m  3.8320958940E+04   3.7483043
2459899.938888889  m  3.8545462833E+04   3.7359482
2459899.939583333  m  3.8769229433E+04   3.7237241
2459899.940277778  m  3.8992266599E+04   3.7116298
2459899.940972222  m  3.9214582050E+04   3.6996630
2459899.941666667  m  3.9436183365E+04   3.6878216
2459899.942361111  m  3.9657078002E+04   3.6761034
2459899.943055556  m  3.9877273291E+04   3.6645063
2459899.943750000  m  4.0096776434E+04   3.6530284
2459899.944444444  m  4.0315594516E+04   3.6416675
2459899.945138889  m  4.0533734505E+04   3.6304217
2459899.945833333  m  4.0751203253E+04   3.6192893
2459899.946527778  m  4.0968007497E+04   3.6082683
2459899.947222222  m  4.1184153873E+04   3.5973569
2459899.947916667  m  4.1399648905E+04   3.5865534
2459899.948611111  m  4.1614499006E+04   3.5758560
2459899.949305556  m  4.1828710499E+04   3.5652632
2459899.950000000  m  4.2042289603E+04   3.5547732
